sample_id,category,goal,launched_at,deadline,image_num,sentence_num,word_num,frame_num,state,dataset_type,url
2479785,Fashion & Wearables,11690,1555171200,1560441599,1,44,326,60,0,0,https://www.indiegogo.com/projects/the-reversible-high-performance-workwear-dress
2119076,Energy & Green Tech,11365,1530038150,1532707199,3,51,894,166,1,2,https://www.indiegogo.com/projects/xia-energy-saving-device-cut-your-bill-by-70pct
2631517,Home,5000,1603814400,1606492799,18,90,807,95,1,0,https://www.indiegogo.com/projects/venue-the-ultimate-plug-play-streaming-player
1492392,Phones & Accessories,500,1444766359,1447430399,22,33,240,46,1,0,https://www.indiegogo.com/projects/uni-i-15
2589358,Health & Fitness,30708,1584460799,1584547199,19,56,624,106,1,0,https://www.indiegogo.com/projects/meet-straffr-your-gym-and-personal-trainer-to-go
2526392,Health & Fitness,20502,1563465599,1563551999,3,28,485,128,1,0,https://www.indiegogo.com/projects/world-s-first-shock-resistant-clay-bottle
881499,Dance & Theater,3000,1406972038,1410019199,2,30,211,37,0,0,https://www.indiegogo.com/projects/ladies-and-gentleman-of-the-island
945060,Audio,20000,1413420649,1416067199,18,63,486,78,0,2,https://www.indiegogo.com/projects/squeo-waterproof-speaker-5th-color-add-on-campaign
2098097,Web Series & TV Shows,3937,1494198848,1496073599,5,36,246,164,0,0,https://www.indiegogo.com/projects/world-series-a-radio-play
2363085,Travel & Outdoors,2092,1523289599,1523375999,12,18,145,37,1,0,https://www.indiegogo.com/projects/mykee-2-0-titanium-multi-tool-key
2631926,Home,10229,1603814399,1603900799,26,23,354,58,1,0,https://www.indiegogo.com/projects/the-coolest-coffee-table
2234292,Travel & Outdoors,125000,1508202990,1513439999,8,68,693,168,0,0,https://www.indiegogo.com/projects/urban-expeditions
2665047,Phones & Accessories,22027,1615219199,1615305599,6,39,801,95,1,0,https://www.indiegogo.com/projects/ava-your-ai-videographer-with-manual-function-too
2523085,Web Series & TV Shows,40000,1563465600,1568735999,1,19,105,63,0,0,https://www.indiegogo.com/projects/old-dogs-new-tricks-last-call
2490342,Fashion & Wearables,25000,1556467200,1560009599,5,52,470,216,0,2,https://www.indiegogo.com/projects/bio-healthy-glam-garments-for-ostomybag-holders
2465940,Travel & Outdoors,5391,1548777599,1548863999,16,89,750,73,1,2,https://www.indiegogo.com/projects/praetor-pocketblade-rethinking-the-utility-knife
707191,Human Rights,2000,1394113675,1395331199,1,12,135,95,0,0,https://www.indiegogo.com/projects/supported-girls-buy-a-bra-save-a-life-from-sex-trafficking
2261594,Food & Beverages,50000,1514259278,1519487999,7,102,1003,176,0,2,https://www.indiegogo.com/projects/longtab-brewing-company
2400520,Film,5752,1535299200,1538495999,6,33,443,146,1,0,https://www.indiegogo.com/projects/mara-the-seal-wife-completion-funds
2645701,Film,5000,1606838400,1612108799,12,121,1154,107,1,1,https://www.indiegogo.com/projects/esther-sai-short-film
1987351,Environment,15000,1485800092,1488470399,7,109,908,207,0,0,https://www.indiegogo.com/projects/africa-conservation-adventure-east-africa-2017
2488267,Fashion & Wearables,6452,1554307199,1554393599,10,71,529,129,1,0,https://www.indiegogo.com/projects/multi-functional-bomber-jacket-nighthawk
1201823,Video Games,6000,1428364749,1431273599,2,114,763,64,0,0,https://www.indiegogo.com/projects/cosmic-compass-a-strategy-game-for-the-soul
329782,Environment,25000,1360790508,1364313599,1,32,271,248,0,0,https://www.indiegogo.com/projects/water-woman-community-and-sustainability-in-trinidad
2477052,Writing & Publishing,17175,1555257599,1555343999,5,33,313,147,1,2,https://www.indiegogo.com/projects/d-day-75th-anniversary-photo-book--2
2638736,Fashion & Wearables,3000,1604505600,1605801599,4,27,289,115,1,0,https://www.indiegogo.com/projects/air-cushioned-heels-fitted-from-your-phone
580468,Dance & Theater,7000,1383889208,1385740799,1,28,254,162,0,0,https://www.indiegogo.com/projects/rhapsody-the-musical-campaign
2566013,Film,3000,1575820800,1580227199,1,16,195,43,0,0,https://www.indiegogo.com/projects/liberty-short-film
2598188,Fashion & Wearables,81306,1588348799,1588435199,30,12,65,98,1,0,https://www.indiegogo.com/projects/goovis-young-personal-mobile-cinema
2362194,Transportation,167000,1538064000,1543334399,3,51,343,149,0,0,https://www.indiegogo.com/projects/skyline-aviation-augmented-reality-hud-for-ios
2462533,Music,5500,1548604800,1552147199,2,43,348,119,0,0,https://www.indiegogo.com/projects/help-finish-cole-degenova-s-new-album-really-human
2298476,Wellness,13000,1523885421,1527263999,5,62,711,278,1,0,https://www.indiegogo.com/projects/beyond-my-battle-launch-resources
678870,Transportation,20000,1394350444,1398873599,5,82,720,198,0,1,https://www.indiegogo.com/projects/reflective-bicycle
2568104,Film,2000,1581609600,1584287999,5,30,403,133,1,2,https://www.indiegogo.com/projects/just-ask-him
2349558,Wellness,55000,1532737069,1537977599,2,112,1280,191,0,2,https://www.indiegogo.com/projects/the-cabin-home-for-individual-retreats
971486,Home,120543,1416155014,1421423999,20,142,961,205,1,0,https://www.indiegogo.com/projects/flic-the-wireless-smart-button
2525669,Wellness,250000,1563811200,1569081599,4,30,223,45,0,2,https://www.indiegogo.com/projects/refuge-in-algonquin
2050180,Film,5000,1488153581,1490803199,9,79,785,143,1,1,https://www.indiegogo.com/projects/four-corners-a-short-film
1439720,Local Businesses,10127,1444173662,1447862399,1,48,345,130,1,2,https://www.indiegogo.com/projects/wine-down-sf-a-new-wine-craft-beer-bar
1110182,Health & Fitness,200000,1422583337,1427817599,3,9,101,138,0,0,https://www.indiegogo.com/projects/doron-medical-center-launched
2143505,Photography,40000,1499038005,1504281599,18,81,671,40,0,1,https://www.indiegogo.com/projects/visible-girls-revisited-exhibition-and-uk-tour
2458800,Phones & Accessories,11075,1548172799,1548259199,10,38,264,205,1,0,https://www.indiegogo.com/projects/zanco-smart-pen-the-world-s-thinnest-mobile-phone
1021367,Camera Gear,35000,1421308628,1424793599,7,73,484,240,0,1,https://www.indiegogo.com/projects/vany-a-light-for-chats-smartphone-photography
2587745,Transportation,20000,1584374400,1589644799,24,218,1557,184,1,1,https://www.indiegogo.com/projects/the-babymaker-stealth-road-ebike-with-belt-drive
2646915,Travel & Outdoors,500,1606924800,1608307199,14,29,177,54,1,0,https://www.indiegogo.com/projects/holl-advanced-wooden-spinning-top-for-everyone
897022,Fashion & Wearables,51350,1411891275,1414511999,1,65,626,164,1,1,https://www.indiegogo.com/projects/pod-never-lose-your-pet-again
2470545,Food & Beverages,25000,1557504000,1561046399,8,30,399,135,0,0,https://www.indiegogo.com/projects/git-in-the-groove-with-groovie-smoothies
619624,Video Games,2500,1391392909,1395331199,2,82,562,76,0,1,https://www.indiegogo.com/projects/arrhythmia
2005038,Wellness,200000,1485388504,1488297599,3,82,823,510,0,2,https://www.indiegogo.com/projects/help-take-this-save-lives
2216357,Fashion & Wearables,60780,1505750399,1505836799,1,83,1116,235,1,2,https://www.indiegogo.com/projects/cinera-an-immersive-personal-theater-headset
2546192,Film,3000,1574784000,1580054399,6,45,552,111,0,0,https://www.indiegogo.com/projects/charlotte-feature-film
2477553,Dance & Theater,6000,1553616000,1558886399,2,16,255,32,0,0,https://www.indiegogo.com/projects/new-dawn-fades-2019-a-play-about-joy-division
2554746,Film,950,1572537600,1576079999,9,82,796,116,1,1,https://www.indiegogo.com/projects/midnight-showing-short-film
631431,Productivity,25000,1443935601,1447257599,5,194,1211,64,0,0,https://www.indiegogo.com/projects/freedom-of-speech-share-chat-app
2591844,Comics,1000,1596124800,1598803199,14,29,217,87,1,2,https://www.indiegogo.com/projects/super-dead
1770062,Camera Gear,6261,1496972169,1502207999,18,71,910,261,1,2,https://www.indiegogo.com/projects/pano5plus1-mark2
677562,Environment,8500,1392360576,1395849599,2,16,425,167,0,0,https://www.indiegogo.com/projects/if-walls-could-talk-y-si-las-paredes-hablaran
2504791,Comics,1448,1561996800,1567267199,26,78,677,54,1,0,https://www.indiegogo.com/projects/ailsa-dark-werewolves-bampots
2410921,Photography,10000,1535212800,1537718399,15,14,351,139,0,1,https://www.indiegogo.com/projects/obsolete-discontinued
2533108,Video Games,10000,1568217600,1571327999,2,50,606,240,0,1,https://www.indiegogo.com/projects/unworthy-life-a-new-3d-sci-fi-action-rpg
2652856,Comics,3500,1612022400,1614700799,13,33,259,118,1,1,https://www.indiegogo.com/projects/the-ace-volume-one
2389287,Wellness,280000,1530126767,1533657599,10,90,1096,231,0,0,https://www.indiegogo.com/projects/rest
2613839,Home,10000,1594051200,1596729599,15,117,1294,67,1,0,https://www.indiegogo.com/projects/sud-stud-v2-smart-soap-saver-w-lathering-bristles--2
2717164,Writing & Publishing,6500,1637424000,1640966399,1,93,830,222,1,0,https://www.indiegogo.com/projects/discovering-and-living-your-truth-by-jeanie-duncan
2031971,Food & Beverages,40000,1488315101,1490975999,2,64,821,174,0,2,https://www.indiegogo.com/projects/revival-chili
2377733,Film,4000,1531032817,1536249599,6,59,781,286,0,0,https://www.indiegogo.com/projects/the-rage-2-short-horror-film
1213500,Phones & Accessories,75000,1430706105,1433347199,7,83,695,123,0,2,https://www.indiegogo.com/projects/auris-zwing-the-smart-boombox-powered-by-android--3
2653240,Home,5038,1609948799,1610035199,2,14,113,33,1,0,https://www.indiegogo.com/projects/revov-coin-storage-we-make-messy-coins-disappear
2551552,Music,25000,1570896000,1576166399,10,38,522,251,0,0,https://www.indiegogo.com/projects/the-hemp-redemption-stage--2
2653162,Writing & Publishing,20000,1610035200,1612713599,2,77,908,118,1,0,https://www.indiegogo.com/projects/lysere-dage-af-christina-andersen-reyn
1553940,Travel & Outdoors,1248,1449012044,1454255999,6,64,487,148,1,0,https://www.indiegogo.com/projects/xtremfishrod-survival-fishing-rod
1755607,Home,16103,1463500799,1463587199,16,106,665,107,1,0,https://www.indiegogo.com/projects/d-twelve-lamp-a-modular-magnetic-lighting-system-furniture-led
2476483,Web Series & TV Shows,13500,1552147200,1555862399,1,38,222,102,0,2,https://www.indiegogo.com/projects/ife-the-animated-short-series
2379576,Productivity,38000,1539532800,1542729599,2,34,171,143,0,0,https://www.indiegogo.com/projects/innovative-and-unique-household-budgeting-software
2052931,Phones & Accessories,30778,1490060458,1492703999,4,71,924,116,1,2,https://www.indiegogo.com/projects/prsrv-power-bank
2400865,Video Games,5257,1538409600,1543679999,2,91,753,1713,1,0,https://www.indiegogo.com/projects/amelia-darnell-secrets-of-silvercrest-village
1768519,Transportation,90000,1463587199,1463673599,24,113,1044,132,1,2,https://www.indiegogo.com/projects/mokumono-the-first-bike-built-by-robots-design-bicycle
2039548,Food & Beverages,75000,1488408904,1493654399,10,104,1038,54,1,0,https://www.indiegogo.com/projects/brewdog-craft-beer-hotel-sour-beer-facility
2719609,Home,10209,1638115199,1638201599,34,255,3174,77,1,0,https://www.indiegogo.com/projects/youflaker-by-w-mock-making-cereals-the-german-way
2438762,Food & Beverages,5102,1542038400,1543939199,5,51,418,87,1,1,https://www.indiegogo.com/projects/japanese-sake-monthly-subscription-in-us
504969,Human Rights,28000,1377645148,1381161599,5,54,425,423,0,1,https://www.indiegogo.com/projects/the-putin-games-lgbt
2073009,Transportation,80000,1491330417,1496591999,3,23,377,60,0,0,https://www.indiegogo.com/projects/barbagallo-x01-the-dream-bike-for-new-lifestyle
1689650,Home,50000,1461879131,1467129599,2,34,169,123,0,0,https://www.indiegogo.com/projects/ovvo-flatpack-furniture-assembly-made-easy
2129347,Wellness,5000,1496003989,1499529599,9,39,322,99,0,0,https://www.indiegogo.com/projects/fighting-dementia-in-singapore--3
2711025,Energy & Green Tech,11500,1634313600,1636991999,32,32,504,51,1,0,https://www.indiegogo.com/projects/new-generation-connect-charlie-12-in-1-charger
2466912,Wellness,1250,1559318400,1564588799,3,16,270,444,0,0,https://www.indiegogo.com/projects/transition-to-freedom
2566034,Film,650,1578672000,1580486399,1,25,382,88,0,1,https://www.indiegogo.com/projects/bonanza-short-film
2656402,Home,500,1615219200,1619193599,11,81,703,36,1,1,https://www.indiegogo.com/projects/tuvuoi-the-craft-cocktail-clear-ice-maker
1911468,Photography,2000,1475957490,1481212799,4,13,129,51,0,0,https://www.indiegogo.com/projects/my-first-photo-exhibition-behind-the-scenes
2198344,Audio,11484,1504018967,1507910399,24,45,378,87,1,0,https://www.indiegogo.com/projects/mugo-the-world-s-most-versatile-wireless-earbuds
2241536,Energy & Green Tech,5000,1510560976,1512316799,5,45,439,189,0,0,https://www.indiegogo.com/projects/aquahub-v1-quest-to-quench-the-world
2518293,Local Businesses,15000,1568044800,1573315199,2,54,398,118,0,2,https://www.indiegogo.com/projects/coin-arcade-bar--2
2057551,Web Series & TV Shows,17000,1489574708,1492444799,4,58,351,95,0,1,https://www.indiegogo.com/projects/b-f-a-in-the-web-series
2273801,Film,3500,1515291450,1519228799,7,34,633,266,1,0,https://www.indiegogo.com/projects/echoes-of-darkness-a-star-wars-fan-film
2305288,Camera Gear,20000,1516745868,1519401599,28,49,623,150,1,0,https://www.indiegogo.com/projects/fifish-p3-1st-truly-professional-underwater-drone
2391643,Art,8000,1531066536,1534521599,5,36,332,123,0,0,https://www.indiegogo.com/projects/one-at-burning-man-2018
2498319,Travel & Outdoors,17072,1567958399,1568044799,17,32,402,114,1,2,https://www.indiegogo.com/projects/lucia-smart-bike-tail-light
2565048,Film,2850,1575561600,1580831999,3,24,258,130,0,0,https://www.indiegogo.com/projects/minor-incident-short-film
2295633,Home,57446,1513353599,1513439999,21,57,578,137,1,2,https://www.indiegogo.com/projects/kleverness-the-world-s-smartest-lighting-system
2527887,Web Series & TV Shows,5000,1564156800,1568131199,8,48,803,188,0,0,https://www.indiegogo.com/projects/catrina-the-lesbian-witch-web-series
2008833,Photography,3000,1486313696,1490025599,3,39,392,225,0,2,https://www.indiegogo.com/projects/wildlife-exposed-wildlife-photography-tv-pilot
2339771,Web Series & TV Shows,30000,1519240134,1523203199,2,33,372,179,0,2,https://www.indiegogo.com/projects/happy-hour-history-web-series--2
2664328,Travel & Outdoors,77951,1614700799,1614787199,4,25,231,81,1,0,https://www.indiegogo.com/projects/the-all-in-one-multifunctional-heated-blanket
2631201,Travel & Outdoors,30000,1604937600,1607615999,13,55,474,188,1,0,https://www.indiegogo.com/projects/biktrix-juggernaut-hd-duo-ultimate-range-e-bike
2381088,Transportation,150000,1527932738,1533139199,3,42,387,223,0,0,https://www.indiegogo.com/projects/texas-guadaloop-spacex-hyperloop-competition-2018
2361540,Health & Fitness,37491,1522771199,1522857599,19,80,566,125,1,1,https://www.indiegogo.com/projects/stappone-track-identify-and-fix-your-posture
2636869,Travel & Outdoors,14339,1603555199,1603641599,10,42,701,96,1,0,https://www.indiegogo.com/projects/iuvi-water-purifying-smart-bottle
2399675,Home,36175,1531929599,1532015999,30,74,799,185,1,1,https://www.indiegogo.com/projects/olarm-the-smartest-home-security-system
2372577,Film,6310,1526545461,1530460799,5,54,570,146,1,0,https://www.indiegogo.com/projects/a-nun-s-curse-horror-feature-film
2369316,"Podcasts, Blogs & Vlogs",20000,1525014605,1526313599,1,70,1015,337,0,2,https://www.indiegogo.com/projects/no-se-dime-tour-madrid
2205048,Culture,45000,1506042360,1509119999,2,27,384,140,0,0,https://www.indiegogo.com/projects/we-have-work-to-do-enfercon
2454849,Comics,10000,1555344000,1560614399,5,195,1857,134,0,0,https://www.indiegogo.com/projects/why-faith-a-comics-anthology
2502681,Film,5483,1561651200,1564329599,24,187,1953,124,1,2,https://www.indiegogo.com/projects/the-return-of-the-nacken-a-gothic-horror-tale
1580886,Video Games,40000,1450894860,1456156799,5,14,161,112,0,2,https://www.indiegogo.com/projects/criminalpoints
2482782,Energy & Green Tech,3000,1556121600,1557935999,1,23,263,113,0,0,https://www.indiegogo.com/projects/zire-the-eco-friendly-dual-plasma-beam-lighter
2143236,Dance & Theater,8000,1498005081,1499702399,4,19,270,182,1,0,https://www.indiegogo.com/projects/kink-haus
1940816,Transportation,50000,1477954297,1480607999,3,30,176,228,1,2,https://www.indiegogo.com/projects/raffe-mini-electric-mx-bikes-50cc-2t-competitive
1309056,Productivity,125000,1434963060,1438876799,4,69,269,161,0,2,https://www.indiegogo.com/projects/glow-smile-and-shine
71827,Environment,10000,1354496265,1358438399,3,22,269,76,0,0,https://www.indiegogo.com/projects/angel-azul
2671042,Home,5146,1617292799,1617379199,14,39,495,180,1,2,https://www.indiegogo.com/projects/poopail-world-s-best-2-in-1-solution-for-dog-poop
2156517,Video Games,25000,1499219938,1504454399,26,115,1355,123,1,0,https://www.indiegogo.com/projects/ancient-cities-extended
1308269,Transportation,50000,1436781405,1439827199,6,57,708,114,0,0,https://www.indiegogo.com/projects/yikebike-fully-electric-folding-bike
2518351,Health & Fitness,10000,1562169600,1564847999,13,85,772,164,0,0,https://www.indiegogo.com/projects/help-grow-5th-dimension
2526537,Music,10000,1563984000,1569254399,1,64,347,194,0,0,https://www.indiegogo.com/projects/flare-ep-by-lauren-leigh
572820,Transportation,100000,1383048207,1385654399,2,84,701,294,0,0,https://www.indiegogo.com/projects/scharf-aerocar
2105895,Web Series & TV Shows,5500,1493959812,1496591999,3,43,336,37,0,0,https://www.indiegogo.com/projects/beer-farmer-pilot
2571631,Tabletop Games,25032,1579017599,1579103999,1,62,582,185,1,2,https://www.indiegogo.com/projects/godice-incredibly-smart-connected-dice
2469482,Music,5000,1554480000,1559750399,5,44,765,257,1,2,https://www.indiegogo.com/projects/black-water-county-new-album
1242355,Environment,30000,1444877999,1447775999,4,71,476,151,0,0,https://www.indiegogo.com/projects/lifecycle-eliminating-disposable-plastic-waste
2466727,Writing & Publishing,9000,1553702400,1557071999,3,81,620,179,0,2,https://www.indiegogo.com/projects/maiden-mermaid-the-tale-of-sirena-keepsake-book
2258077,Phones & Accessories,17528,1510415999,1510502399,6,63,701,164,1,0,https://www.indiegogo.com/projects/totmtravl-for-apple-watch-the-ultimate-3in1
2176776,Travel & Outdoors,20000,1501609823,1505577599,17,37,585,121,0,2,https://www.indiegogo.com/projects/b3-bike-light-your-night-owl
1034468,Environment,250000,1417667329,1422892799,10,27,331,264,0,1,https://www.indiegogo.com/projects/ignite-a-global-campaign-to-fix-the-ocean
2631152,Film,600,1603209600,1608479999,3,30,226,74,1,0,https://www.indiegogo.com/projects/the-grandkid
2088301,Culture,100000,1495142204,1500393599,3,94,853,98,0,1,https://www.indiegogo.com/projects/sagastad-rebuilding-a-1200-year-old-viking-ship
2272157,Tabletop Games,5000,1511711999,1511798399,5,69,642,149,1,0,https://www.indiegogo.com/projects/demons-black-friday-bundle
2602572,Comics,336,1589039999,1589126399,1,16,67,138,1,2,https://www.indiegogo.com/projects/catdad-supermom-an-elefart-never-forgets
2493453,Audio,10000,1561478400,1564156799,7,29,417,65,0,0,https://www.indiegogo.com/projects/keymao-magnetic-headphones-wear-music-everywhere
1191940,Wellness,55000,1427299655,1429977599,9,34,291,253,0,1,https://www.indiegogo.com/projects/crysalismedicinetemple
2713748,Phones & Accessories,20416,1636127999,1636214399,3,30,473,92,1,1,https://www.indiegogo.com/projects/moft-smart-desk-mat-snap-organize-all-devices
1586874,Fashion & Wearables,5000,1451820684,1455724799,3,59,461,216,0,2,https://www.indiegogo.com/projects/goliath-s-gear
2563048,Music,4100,1574697600,1577462399,4,30,243,334,0,0,https://www.indiegogo.com/projects/colors-a-new-album-by-tal-arditi
2555443,Music,16000,1575388800,1579363199,5,49,549,153,0,2,https://www.indiegogo.com/projects/help-launch-lance-and-lea-s-new-album
2601519,Food & Beverages,25813,1588780799,1588867199,10,16,215,200,1,0,https://www.indiegogo.com/projects/the-herb-garden
1103687,Writing & Publishing,25000,1426997754,1432223999,2,45,514,109,0,0,https://www.indiegogo.com/projects/nero-s-fiddle-book-trailer-and-promotion
503743,Art,3000,1380417618,1382025599,2,99,667,97,1,0,https://www.indiegogo.com/projects/dessiner-istanbul-drawing-istanbul
2535823,Energy & Green Tech,7000,1570636800,1572796799,26,302,3937,45,0,2,https://www.indiegogo.com/projects/lfree-a-breakthrough-solar-concentrator
2504261,Culture,50000,1558022400,1563292799,3,44,308,282,0,0,https://www.indiegogo.com/projects/uskok-battle-for-klis--2
2561044,Dance & Theater,8500,1574524800,1578499199,7,70,667,157,0,1,https://www.indiegogo.com/projects/vancouver-premiere-of-a-kid-like-jake
2408043,Home,2000,1540656000,1543334399,14,53,558,122,0,0,https://www.indiegogo.com/projects/veggiemat-make-eating-veggies-fun-for-kids
2373372,Culture,24500,1529377584,1533743999,3,38,291,132,0,2,https://www.indiegogo.com/projects/valley-art-mobile-our-bus
2504348,Environment,12169,1564416000,1569686399,2,53,453,143,1,1,https://www.indiegogo.com/projects/james-neighborhood-recycling-service
2539724,Fashion & Wearables,10608,1567785599,1567871999,10,55,663,357,1,0,https://www.indiegogo.com/projects/the-moose-anti-theft-workstation-backpack
2658388,Travel & Outdoors,243154,1612195199,1612281599,20,56,464,158,1,2,https://www.indiegogo.com/projects/charwego-your-flawless-6-in-1-45w-travel-adapter
2214263,Video Games,10000,1506318331,1508947199,4,44,378,175,0,1,https://www.indiegogo.com/projects/star-explorers
2354738,Energy & Green Tech,90000,1524423287,1529683199,2,33,523,192,0,0,https://www.indiegogo.com/projects/apisolis-naturally-active
2035857,Energy & Green Tech,10000,1488240041,1492617599,15,93,574,151,0,1,https://www.indiegogo.com/projects/emagplus-newsstand-the-netflix-for-magazines
528753,Art,6000,1382873549,1386863999,21,95,402,106,0,0,https://www.indiegogo.com/projects/artistspotter
2618651,Comics,500,1595433600,1598111999,4,19,120,195,1,1,https://www.indiegogo.com/projects/what-would-testefy-do-buy-a-wristband
2556385,Wellness,20000,1572537600,1575215999,8,93,1010,209,0,0,https://www.indiegogo.com/projects/tiny-todd-honest-skincare-for-children
503635,Comics,12999,1378397260,1382630399,10,59,632,75,0,2,https://www.indiegogo.com/projects/eschaton-a-go-go-graphic-novel
1281335,Phones & Accessories,8000,1433977997,1436630399,3,102,478,166,0,2,https://www.indiegogo.com/projects/noisebud-plugins-for-x64-and-os-x
2226336,Music,20000,1508964613,1514217599,4,57,462,155,1,2,https://www.indiegogo.com/projects/dark-sarah-the-golden-moth-new-album
2592709,Travel & Outdoors,4500,1586188800,1587139199,12,19,342,51,1,0,https://www.indiegogo.com/projects/tiwallet-minimalist-titanium-wallet
715076,Fashion & Wearables,12000,1409645140,1412697599,4,37,311,149,0,0,https://www.indiegogo.com/projects/abbecote-1-abbewrap-worn-15-ways-and-counting
2566310,Home,5300,1575993599,1576079999,6,19,180,66,1,1,https://www.indiegogo.com/projects/zipbag-no-more-plastic-bags-lifetime-warranty
2065878,Writing & Publishing,5000,1491099671,1495295999,14,74,793,328,0,0,https://www.indiegogo.com/projects/the-fantastical-worlds-of-author-e-m-moon
2223655,Energy & Green Tech,96560,1506959999,1507046399,14,152,1243,132,1,0,https://www.indiegogo.com/projects/glow-the-smart-energy-tracker-for-your-home
2530188,Art,6000,1565020800,1568563199,4,33,304,179,0,0,https://www.indiegogo.com/projects/balloon-installation-online-school--2
2339612,Film,10000,1520538822,1525795199,3,91,790,171,0,0,https://www.indiegogo.com/projects/quando-non-puoi-tornare-indietro
2217456,Transportation,64950,1505425949,1508947199,30,102,663,95,0,0,https://www.indiegogo.com/projects/tripholder-a-revolution-in-transportation
2481546,Food & Beverages,15000,1561824000,1567094399,7,62,473,58,0,1,https://www.indiegogo.com/projects/zak-s-street-snacks
1643145,Energy & Green Tech,50079,1461427199,1461513599,18,78,808,111,1,2,https://www.indiegogo.com/projects/solar-paper-the-world-s-thinnest-solar-charger
2531882,Home,21963,1565107199,1565193599,1,24,255,136,1,0,https://www.indiegogo.com/projects/autoshades
2264625,Fashion & Wearables,11961,1516549949,1521734399,8,68,722,131,1,0,https://www.indiegogo.com/projects/ironcloud-premium-multi-sport-gps-smart-watch
2525041,Film,16000,1567267200,1572537599,5,84,773,139,0,0,https://www.indiegogo.com/projects/laundrogogo-2-0-post-production
1556165,Transportation,52219,1449417599,1449503999,12,64,435,252,1,2,https://www.indiegogo.com/projects/smarthalo-turn-your-bike-into-a-smart-bike--3
2330785,Productivity,20000,1517332720,1521302399,11,32,228,115,0,0,https://www.indiegogo.com/projects/world-map-portal-the-first-mixed-reality-map
2561962,Comics,500,1578758400,1583942399,19,45,317,93,0,0,https://www.indiegogo.com/projects/word-smith-volume-1-2-steampunk-fantasy
2564126,Dance & Theater,7500,1575216000,1579622399,3,62,552,190,0,0,https://www.indiegogo.com/projects/45north-and-ellandar-go-downunder
2705074,Music,8000,1634486400,1637164799,1,94,696,248,1,0,https://www.indiegogo.com/projects/candace-coker-the-bare-and-bones-album
2126100,Culture,50000,1496464103,1499356799,4,21,208,192,0,0,https://www.indiegogo.com/projects/urban-confessional
2217774,Culture,7000,1505644963,1509119999,5,34,953,143,0,0,https://www.indiegogo.com/projects/la-munay-casa-cultural-feminista
2483725,Food & Beverages,25000,1557676800,1562947199,15,124,1607,132,0,2,https://www.indiegogo.com/projects/la-insoportable-mexico-is-making-gin
1838656,Health & Fitness,15000,1471224691,1476460799,6,90,823,198,0,0,https://www.indiegogo.com/projects/nestcare-a-device-based-health-care-app
1905786,Phones & Accessories,47633,1474856759,1480089599,1,49,435,136,1,2,https://www.indiegogo.com/projects/smove-smartphone-stabilizers-powerbank-in-one
670317,Dance & Theater,7800,1392008792,1396367999,1,36,233,102,1,2,https://www.indiegogo.com/projects/ballet-confessions
2352828,Health & Fitness,25000,1522218994,1527436799,4,52,473,176,0,2,https://www.indiegogo.com/projects/afrocenchix-swirl-conditioner-spring-styler
